id,car_type,fault,description,solution,category,difficulty
278,شيفروليه أوبترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع رينو لوجان.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
279,تويوتا كورولا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
280,ميتسوبيشي لانسر,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع تويوتا كورولا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
281,بيجو 301,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع بيجو 301.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
282,بيجو 301,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع كيا سيراتو.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
283,بيجو 301,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع هيونداي إلنترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
284,تويوتا كورولا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع رينو لوجان.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
285,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع فورد فوكس.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
286,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع فورد فوكس.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
287,هيونداي إلنترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
288,هيونداي إلنترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
289,ميتسوبيشي لانسر,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع نيسان صني.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
290,ميتسوبيشي لانسر,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع تويوتا كورولا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
291,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع نيسان صني.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
292,هيونداي إلنترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
293,تويوتا كورولا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع شيفروليه أوبترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
294,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
295,بيجو 301,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع تويوتا كورولا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
296,هيونداي إلنترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
297,ميتسوبيشي لانسر,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع سكودا أوكتافيا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
298,شيفروليه أوبترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع كيا سيراتو.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
299,فورد فوكس,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع هيونداي إلنترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
300,شيفروليه أوبترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع تويوتا كورولا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
301,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
302,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع كيا سيراتو.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
303,شيفروليه أوبترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
304,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع فورد فوكس.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
305,شيفروليه أوبترا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع سكودا أوكتافيا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
306,شيفروليه أوبترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع فورد فوكس.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
307,هيونداي إلنترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع ميتسوبيشي لانسر.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
308,هيونداي إلنترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع ميتسوبيشي لانسر.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
309,رينو لوجان,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع شيفروليه أوبترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
310,نيسان صني,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع نيسان صني.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
311,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع ميتسوبيشي لانسر.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
312,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع تويوتا كورولا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
313,نيسان صني,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
314,رينو لوجان,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع رينو لوجان.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
315,فورد فوكس,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع تويوتا كورولا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
316,فورد فوكس,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
317,فورد فوكس,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
318,رينو لوجان,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع فورد فوكس.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
319,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع نيسان صني.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
320,تويوتا كورولا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع كيا سيراتو.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
321,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع هيونداي إلنترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
322,شيفروليه أوبترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع بيجو 301.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
323,ميتسوبيشي لانسر,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع رينو لوجان.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
324,تويوتا كورولا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
325,فورد فوكس,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع سكودا أوكتافيا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
326,بيجو 301,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع كيا سيراتو.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
327,رينو لوجان,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع تويوتا كورولا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
328,ميتسوبيشي لانسر,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع بيجو 301.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
329,كيا سيراتو,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
330,رينو لوجان,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع نيسان صني.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
331,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع تويوتا كورولا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
332,سكودا أوكتافيا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
333,بيجو 301,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
334,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع سكودا أوكتافيا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
335,نيسان صني,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع ميتسوبيشي لانسر.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
336,بيجو 301,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع نيسان صني.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
337,كيا سيراتو,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع تويوتا كورولا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
338,سكودا أوكتافيا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع فورد فوكس.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
339,سكودا أوكتافيا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع فورد فوكس.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
340,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع رينو لوجان.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
341,بيجو 301,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع ميتسوبيشي لانسر.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
342,هيونداي إلنترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع شيفروليه أوبترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
343,نيسان صني,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع هيونداي إلنترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
344,سكودا أوكتافيا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع بيجو 301.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
345,سكودا أوكتافيا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع ميتسوبيشي لانسر.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
346,نيسان صني,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع فورد فوكس.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
347,تويوتا كورولا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع نيسان صني.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
348,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع كيا سيراتو.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
349,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع شيفروليه أوبترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
350,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع كيا سيراتو.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
351,تويوتا كورولا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع شيفروليه أوبترا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
352,تويوتا كورولا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع رينو لوجان.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
353,شيفروليه أوبترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع تويوتا كورولا.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
354,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع نيسان صني.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
355,رينو لوجان,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع فورد فوكس.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
356,كيا سيراتو,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع نيسان صني.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
357,هيونداي إلنترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع ميتسوبيشي لانسر.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
358,تويوتا كورولا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع كيا سيراتو.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
359,ميتسوبيشي لانسر,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع شيفروليه أوبترا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
360,نيسان صني,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع شيفروليه أوبترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
361,سكودا أوكتافيا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع ميتسوبيشي لانسر.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
362,كيا سيراتو,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع سكودا أوكتافيا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
363,ميتسوبيشي لانسر,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
364,بيجو 301,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع بيجو 301.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
365,شيفروليه أوبترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع ميتسوبيشي لانسر.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
366,كيا سيراتو,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع ميتسوبيشي لانسر.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
367,كيا سيراتو,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع فورد فوكس.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
368,فورد فوكس,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع رينو لوجان.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
369,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع ميتسوبيشي لانسر.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
370,نيسان صني,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع فورد فوكس.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
371,نيسان صني,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع كيا سيراتو.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,متوسط
372,تويوتا كورولا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
373,ميتسوبيشي لانسر,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع نيسان صني.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
374,هيونداي إلنترا,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع فورد فوكس.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,سهل
375,رينو لوجان,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع نيسان صني.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
376,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع هيونداي إلنترا.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
377,رينو لوجان,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع فورد فوكس.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
378,هيونداي إلنترا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع نيسان صني.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
379,سكودا أوكتافيا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع بيجو 301.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,سهل
380,بيجو 301,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع شيفروليه أوبترا.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,سهل
381,ميتسوبيشي لانسر,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع ميتسوبيشي لانسر.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,صعب
382,بيجو 301,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع ميتسوبيشي لانسر.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,صعب
383,رينو لوجان,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع كيا سيراتو.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
384,هيونداي إلنترا,الموتور بيرعش,السواق لاحظ إن الموتور بيرعش والعربية من نوع رينو لوجان.,"راجع البوجيهات، ممكن واحد بايظ. نضفها أو غيرها. كمان فلتر الهوا لو مسدود، غيره.",موتور,متوسط
385,بيجو 301,صوت تكتكة من الموتور,السواق لاحظ إن صوت تكتكة من الموتور والعربية من نوع نيسان صني.,الصوت ده ممكن من البلوف أو الزيت ناقص. شيّك على مستوى الزيت وزوّد لو ناقص.,موتور,متوسط
386,تويوتا كورولا,العربية بتسخن,السواق لاحظ إن العربية بتسخن والعربية من نوع كيا سيراتو.,"شوف ميّه الردياتير، لو ناقصة زوّد. لو بتغلي بسرعة، الترموستات أو طلمبة الميّه محتاجين كشف.",موتور,صعب
